Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,675.0,18.0,39.0,1500.0,0.0,23.855000000000015,0.0,0.0,160.52040839195251,,,,,,,,,,,,,,,,,,,,,7.670759611234148,7.907354150592164,23.57941979495683,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,719.0,19.0,44.0,1544.0,0.0,21.75500000000002,0.0,0.0,163.85233521461487,,,,,,,,,,,,,,,,,,,,,5.862381406856333,6.932214437708561,21.518573791890216,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,784.0,20.0,65.0,1609.0,0.0,38.65699999999992,0.0,0.0,168.55802726745605,,,,,,,,,,,,,,,,,,,,,11.92933070428573,12.534377529181615,37.91951301723867,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,80.0,1.0,80.0,1689.0,0.0,41.103999999999964,0.0,0.0,221.94609832763672,,,,,,,,,,,,,,,,,,,,,16.780401908940238,12.012961186473383,39.80136921650129,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,108.0,2.0,28.0,1717.0,0.0,10.255000000000008,0.0,0.0,224.19305515289307,,,,,,,,,,,,,,,,,,,,,2.3251996729628277,3.092205707620941,10.200094503660704,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,133.0,3.0,25.0,1742.0,0.0,9.904000000000007,0.0,0.0,226.2407603263855,,,,,,,,,,,,,,,,,,,,,2.3746739957935983,3.0717104342466377,9.854487637742906,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,171.0,4.0,38.0,1780.0,0.0,21.705000000000016,0.0,0.0,229.38242030143738,,,,,,,,,,,,,,,,,,,,,6.679512117940829,7.082886204496212,21.47265119070896,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,202.0,5.0,31.0,1811.0,0.0,13.80400000000001,0.0,0.0,231.7412827014923,,,,,,,,,,,,,,,,,,,,,3.616648502165359,4.304616086629276,13.705589485918793,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,266.0,6.0,64.0,1875.0,0.0,34.35499999999997,0.0,0.0,236.36875224113464,,,,,,,,,,,,,,,,,,,,,11.565804746658538,10.093257910960306,33.64843693314701,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,306.0,7.0,40.0,1915.0,0.0,26.104000000000013,0.0,0.0,239.50997042655945,,,,,,,,,,,,,,,,,,,,,8.914970434320848,8.632427316389494,25.773174356984157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
