Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
55,2.0,0.0,0.0,283.0,15.0,12.0,1066.0,0.0,3.2034999999999996,0.0,0.0,196.42753052711487,,,,,,,,,,,,,,,,,,,,,0.7021523822007514,0.9907643859489428,3.1982724438574492,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,297.0,16.0,14.0,1080.0,0.0,3.9525,0.0,0.0,198.21025919914246,,,,,,,,,,,,,,,,,,,,,1.035811650948115,1.2772533570157074,3.9419405774641914,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,319.0,17.0,22.0,1102.0,0.0,6.453999999999998,0.0,0.0,200.88038682937622,,,,,,,,,,,,,,,,,,,,,1.6297399987376764,2.019954958916858,6.42457029031809,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,345.0,18.0,26.0,1128.0,0.0,12.7555,0.0,0.0,203.80187511444092,,,,,,,,,,,,,,,,,,,,,4.046584381256695,4.3138464112305455,12.662951757845171,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,356.0,19.0,11.0,1139.0,0.0,4.053000000000001,0.0,0.0,205.1920337677002,,,,,,,,,,,,,,,,,,,,,1.0557256775994215,1.331314152034857,4.045432449996404,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,388.0,20.0,32.0,1171.0,0.0,12.306499999999996,0.0,0.0,208.73169708251953,,,,,,,,,,,,,,,,,,,,,3.308151471285979,3.9652609710946454,12.212852004923775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,16.0,1.0,16.0,1187.0,0.0,7.5035,0.0,0.0,236.57337951660156,,,,,,,,,,,,,,,,,,,,,2.107216745327455,2.495378536511986,7.477261793868632,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,62.0,2.0,46.0,1233.0,0.0,12.603000000000002,0.0,0.0,241.51592564582825,,,,,,,,,,,,,,,,,,,,,2.8878481280723207,3.273547709046781,12.482641627736413,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,89.0,3.0,27.0,1260.0,0.0,13.754,0.0,0.0,244.58320999145508,,,,,,,,,,,,,,,,,,,,,4.42373788103667,4.452671732245035,13.648207284496513,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,109.0,4.0,20.0,1280.0,0.0,7.151999999999998,0.0,0.0,247.15131497383118,,,,,,,,,,,,,,,,,,,,,2.173440364105443,2.245156922842718,7.115646839557448,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,123.0,5.0,14.0,1294.0,0.0,4.602999999999999,0.0,0.0,248.9543330669403,,,,,,,,,,,,,,,,,,,,,1.1041871113912742,1.440065153690505,4.592133513954478,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,143.0,6.0,20.0,1314.0,0.0,7.252999999999998,0.0,0.0,251.36935210227966,,,,,,,,,,,,,,,,,,,,,1.8572404909820623,2.3710878836078284,7.223078268448809,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,162.0,7.0,19.0,1333.0,0.0,11.152000000000003,0.0,0.0,253.6915431022644,,,,,,,,,,,,,,,,,,,,,3.9474548242855967,3.892705981069725,11.088086444783361,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,187.0,8.0,25.0,1358.0,0.0,11.401500000000002,0.0,0.0,256.58672618865967,,,,,,,,,,,,,,,,,,,,,4.588807084953305,3.4204576702516176,11.298077900776946,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,208.0,9.0,21.0,1379.0,0.0,10.751500000000002,0.0,0.0,259.143816947937,,,,,,,,,,,,,,,,,,,,,3.8772136849171823,3.704389905028543,10.680759271888629,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,218.0,10.0,10.0,1389.0,0.0,3.5524999999999998,0.0,0.0,260.4919638633728,,,,,,,,,,,,,,,,,,,,,1.2352378955411922,1.3000242268344397,3.5436913123569456,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,235.0,11.0,17.0,1406.0,0.0,4.9529999999999985,0.0,0.0,262.5624032020569,,,,,,,,,,,,,,,,,,,,,1.3637378132201219,1.6334165037352277,4.934751208383642,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,252.0,12.0,17.0,1423.0,0.0,7.002499999999999,0.0,0.0,264.62759137153625,,,,,,,,,,,,,,,,,,,,,2.046761080299086,2.411279392572466,6.974679741376292,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,288.0,13.0,36.0,1459.0,0.0,17.150999999999996,0.0,0.0,268.59865140914917,,,,,,,,,,,,,,,,,,,,,6.908263265463764,4.748178788483293,16.919221744187492,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,299.0,14.0,11.0,1470.0,0.0,2.9025,0.0,0.0,270.0377264022827,,,,,,,,,,,,,,,,,,,,,0.94600537640451,1.005686472296139,2.8949889297893394,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,327.0,15.0,28.0,1498.0,0.0,9.201499999999998,0.0,0.0,273.26671624183655,,,,,,,,,,,,,,,,,,,,,3.7593388108245045,2.4561293638390014,9.105343857154068,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,367.0,16.0,40.0,1538.0,0.0,12.751999999999997,0.0,0.0,277.8707094192505,,,,,,,,,,,,,,,,,,,,,5.402514146221854,3.454095733334113,12.54844788203316,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,398.0,17.0,31.0,1569.0,0.0,17.952000000000005,0.0,0.0,281.38303422927856,,,,,,,,,,,,,,,,,,,,,7.434884942975974,5.19423886378432,17.73925782459234,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
